               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.014327,            0.010434,           0.0019332,             0.84291,             0.80026,             0.84591,             0.71377,            0.019291,            0.020854,           0.0064442,            0.001189,            0.001189,            0.001189
                  91,            0.014332,            0.010231,           0.0019326,              0.8468,             0.79549,              0.8473,             0.71373,             0.01931,            0.020747,           0.0063473,             0.00109,             0.00109,             0.00109
                  92,            0.014086,            0.010071,           0.0019038,             0.86967,             0.77055,             0.84648,             0.71395,            0.019337,            0.020538,           0.0063896,            0.000991,            0.000991,            0.000991
                  93,            0.013942,            0.010152,           0.0018829,             0.86898,             0.76888,             0.84393,             0.71124,            0.019465,             0.02126,           0.0064127,            0.000892,            0.000892,            0.000892
                  94,            0.014189,           0.0099812,           0.0018705,              0.8467,             0.79663,              0.8486,             0.71441,            0.019404,            0.020902,           0.0064746,            0.000793,            0.000793,            0.000793
                  95,             0.01386,           0.0099856,           0.0017376,             0.85697,             0.77962,             0.84439,             0.71266,            0.019438,            0.021183,           0.0065485,            0.000694,            0.000694,            0.000694
                  96,            0.013763,           0.0098116,           0.0018176,             0.83715,             0.79948,             0.84547,             0.71502,             0.01937,             0.02109,           0.0065243,            0.000595,            0.000595,            0.000595
                  97,            0.013773,             0.01009,           0.0017241,             0.85864,             0.78095,             0.84571,              0.7157,            0.019431,            0.021163,           0.0065806,            0.000496,            0.000496,            0.000496
                  98,            0.013366,           0.0098255,            0.001667,             0.87194,             0.76947,             0.84632,             0.71692,            0.019384,            0.021371,           0.0066267,            0.000397,            0.000397,            0.000397
                  99,            0.013673,           0.0097928,            0.001782,             0.84413,             0.79563,              0.8465,             0.71522,            0.019408,            0.021314,           0.0066352,            0.000298,            0.000298,            0.000298
